"lambda","accuracy_score","roc_score","n"
0.117451889008059,0.508474576271186,0.5,1
0.0478366368901693,0.355932203389831,0.404117647058823,2
0.0559840279413932,0.491525423728814,0.499425287356322,3
0.0882170805347695,0.525423728813559,0.5,4
0.0710825347073096,0.491525423728814,0.5,5
0.0501604321609631,0.542372881355932,0.538505747126437,6
0.0112485822674225,0.491525423728814,0.509259259259259,7
0.0585053114547647,0.559322033898305,0.508158508158508,8
0.0520285054110645,0.491525423728814,0.497126436781609,9
0.0581291823804925,0.406779661016949,0.5,10
0.0472323484170943,0.474576271186441,0.468390804597701,11
0.103974431715215,0.542372881355932,0.5,12
0.0818663138190597,0.457627118644068,0.5,13
0.0851532657996694,0.423728813559322,0.5,14
0.0823680558284383,0.474576271186441,0.5,15
0.0418837670172282,0.457627118644068,0.464367816091954,16
0.116737216976997,0.440677966101695,0.5,17
0.095322598084482,0.457627118644068,0.5,18
0.0982124209199492,0.542372881355932,0.5,19
0.0989985234704039,0.406779661016949,0.5,20
0.118478515680535,0.491525423728814,0.5,21
0.058763801419102,0.457627118644068,0.506993006993007,22
0.0555492565038752,0.559322033898305,0.566091954022989,23
0.0886445361811023,0.508474576271186,0.5,24
0.0973184441282504,0.525423728813559,0.5,25
0.0674804576357623,0.423728813559322,0.5,26
0.0668380516179808,0.474576271186441,0.515625,27
0.0657664872021271,0.474576271186441,0.5,28
0.079173898216994,0.457627118644068,0.5,29
0.092538470578768,0.559322033898305,0.5,30
0.102523539042679,0.627118644067797,0.5,31
0.0588824038687702,0.474576271186441,0.480459770114943,32
0.113185925159839,0.491525423728814,0.5,33
0.0829369583621877,0.508474576271186,0.5,34
0.0947172132989329,0.542372881355932,0.5,35
0.0808400251049204,0.627118644067797,0.5,36
0.090169026029548,0.491525423728814,0.5,37
0.0809521126425401,0.457627118644068,0.5,38
0.106923061540981,0.474576271186441,0.5,39
0.090658510101723,0.440677966101695,0.5,40
0.0952054019911719,0.457627118644068,0.5,41
0.093629426800462,0.542372881355932,0.5,42
0.0322094627570678,0.491525423728814,0.51099537037037,43
0.0683749122470967,0.525423728813559,0.501728110599078,44
0.059999785341096,0.423728813559322,0.480769230769231,45
0.0545858886649124,0.508474576271186,0.514942528735632,46
0.0827493843285534,0.508474576271186,0.5,47
0.0526617629872977,0.423728813559322,0.494705882352941,48
0.0597173085144593,0.576271186440678,0.527389277389277,49
0.0610380470963888,0.440677966101695,0.481481481481481,50
0.106889238141564,0.559322033898305,0.5,51
0.0963396254636479,0.559322033898305,0.5,52
0.0572389191260507,0.474576271186441,0.467816091954023,53
0.104480423293435,0.474576271186441,0.5,54
0.0572678053542145,0.440677966101695,0.419354838709677,55
0.0878243033642152,0.559322033898305,0.5,56
0.087650381154296,0.457627118644068,0.5,57
0.0839993640534648,0.644067796610169,0.5,58
0.0419639511681342,0.406779661016949,0.438657407407407,59
0.108981845436336,0.491525423728814,0.5,60
0.0387693846990795,0.406779661016949,0.429976851851852,61
0.0604396993920512,0.508474576271186,0.48905529953917,62
0.0607992310927903,0.525423728813559,0.5,63
0.0604684372396135,0.559322033898305,0.552298850574713,64
0.0637983230902496,0.440677966101695,0.5,65
0.0194230064521213,0.559322033898305,0.541666666666667,66
0.0520331502799437,0.440677966101695,0.533816425120773,67
0.0975044114137393,0.440677966101695,0.5,68
0.116296020041914,0.508474576271186,0.5,69
0.0363331055754231,0.525423728813559,0.531609195402299,70
0.0956159747490509,0.525423728813559,0.5,71
0.0914137509500759,0.440677966101695,0.5,72
0.0873829307790677,0.508474576271186,0.5,73
0.0665837918424802,0.440677966101695,0.495920745920746,74
0.0763077426718539,0.525423728813559,0.5,75
0.11106482066623,0.627118644067797,0.5,76
0.0785207875367136,0.576271186440678,0.5,77
0.0906421766702293,0.355932203389831,0.5,78
0.0572885456209504,0.559322033898305,0.484523809523809,79
0.0936509924201423,0.423728813559322,0.5,80
0.109991403262627,0.542372881355932,0.5,81
0.0881105166633472,0.440677966101695,0.5,82
0.0102268774461479,0.542372881355932,0.521561771561772,83
0.0559995303397481,0.423728813559322,0.5,84
0.0884721000941888,0.491525423728814,0.5,85
0.0559536887408888,0.474576271186441,0.538823529411765,86
0.0692480569317815,0.542372881355932,0.5,87
0.101286590992026,0.576271186440678,0.5,88
0.0551071048616665,0.457627118644068,0.480414746543779,89
0.0469104528922796,0.457627118644068,0.463218390804598,90
0.100594867468469,0.440677966101695,0.5,91
0.0918546893596683,0.559322033898305,0.5,92
0.102299280177778,0.423728813559322,0.5,93
0.102778526140248,0.491525423728814,0.5,94
0.0929650162589404,0.644067796610169,0.5,95
0.12716267737099,0.491525423728814,0.5,96
0.100089303299661,0.457627118644068,0.5,97
0.0573565212876368,0.491525423728814,0.467741935483871,98
0.0608010609211685,0.559322033898305,0.518518518518519,99
0.091237886154973,0.457627118644068,0.5,100
