,HCPID,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
0,153429_fnca,0.01025203291147226,0.056149913058411265,-41.87428335536341,0.26988124288854387,1.9999999999150224,-43.309029585410954,Procedural,1.4347462300475442
1,108828_fnca,0.6178909342221822,0.6773607198868866,-36.7668178302828,0.5901046854825815,1.9999999998568772,-40.442897933466284,Procedural,3.6760801031834873
2,122620_fnca,0.05382083717315372,0.9339371076243569,-44.29530918467901,0.010015727241572936,1.999999999986897,-44.85962682929034,Procedural,0.5643176446113287
3,140824_fnca,0.3685790804038017,0.7073572396471067,-40.2178103971532,0.12293505637081781,1.9314003319071713,-43.93016387761108,Procedural,3.712353480457878
4,141826_fnca,0.01643190738097626,0.03760948723608333,-57.717707084289934,0.010030875105877043,1.9999999994853286,-77.3082435825724,Procedural,19.590536498282468
5,151223_fnca,0.010044283877088599,1.9999999999397464,-44.45124295253484,0.010000000532059485,1.9999927206652206,-45.53170048462448,Procedural,1.080457532089639
6,154835_fnca,0.0386547814282402,0.16651492702282264,-60.13565437827287,0.010036281940718431,1.9999999990617694,-76.26015026687057,Procedural,16.1244958885977
7,154936_fnca,0.8104326652004672,0.9522784280490475,-40.58075698309714,1.3067245151073381,1.9626409848566386,-41.395727675867334,Procedural,0.8149706927701956
8,101006_fnca,0.9888477660291375,1.448367736089224,-41.239867018138426,0.010022998021907323,1.9999999995903566,-44.473609066749276,Procedural,3.23374204861085
9,148335_fnca,0.8164253469800313,0.8155069086363619,-38.52162909223917,0.384497981293151,1.9999961042198349,-43.909555296599805,Procedural,5.387926204360632
10,131924_fnca,0.010000001970233792,0.9990873689950875,-44.34811504175871,0.010040302993069466,1.9999999990357766,-44.27491022775354,Declarative,-0.07320481400517309
11,163432_fnca,0.2393313206294316,0.5329045075212273,-65.05044716663564,0.010023819004372892,1.9999999996239284,-78.92940357196095,Procedural,13.878956405325312
12,168341_fnca,0.06658558797975754,0.2557988147709527,-41.05947272043406,0.010000001545172449,0.5137582142882811,-42.32014157656714,Procedural,1.2606688561330799
13,151728_fnca,0.038359933872922664,0.08030115465575995,-57.66679968967125,0.010018181761822346,1.9999999993327948,-78.4782853094467,Procedural,20.811485619775453
14,157336_fnca,0.7407930980833135,1.9999333467407083,-72.05087427561557,0.5993188291508502,1.999980481128247,-60.25465977672092,Declarative,-11.79621449889465
15,157437_fnca,0.0638518356088784,0.2280588772427951,-40.62749930747589,0.010016554175954038,0.5862242692721382,-41.365040312921224,Procedural,0.7375410054453369
16,169343_fnca,0.010000000004586283,0.10171736097492234,-42.04771179371049,0.010000001011550881,0.5946888128801963,-40.673727157516545,Declarative,-1.3739846361939456
17,153025_fnca,0.5711035078393606,1.9999999999979217,-43.79597639525422,0.04783318879770043,0.7320372844524295,-43.64601806017903,Declarative,-0.14995833507519052
18,108323_fnca,0.010000002867053562,0.019325487915949312,-69.3423341515928,0.010030940364793557,1.9999999994876905,-77.05596031671017,Procedural,7.713626165117375
19,150524_fnca,0.11503544047380596,0.2626585820235025,-62.297831898834296,0.01000241253067672,1.9999999982772607,-77.99412647319289,Procedural,15.696294574358596
20,164131_fnca,0.08891795185505168,0.4729651460786007,-66.6886394566706,0.010029707578884548,1.999999999446212,-78.62675465084679,Procedural,11.938115194176191
21,155231_fnca,0.6546006886508021,1.9999308048209494,-71.22034779650559,0.6353253057561958,1.9999999990752548,-59.24099137357794,Declarative,-11.979356422927651
22,109325_fnca,0.5180284390425235,0.23647930878717655,-28.563468258266557,0.010000001140837952,1.5844746696822534,-42.06911253559041,Procedural,13.505644277323857
23,161630_fnca,0.010000000003567289,0.08232734868910603,-66.96407050562715,0.010030099154558578,1.9999999994572548,-78.94730648752085,Procedural,11.9832359818937
24,140117_fnca,0.750419373019943,1.999999991965236,-44.264336527230085,0.5676597397175561,1.9999998961222083,-43.813314769343926,Declarative,-0.45102175788615995
25,154734_fnca,0.010000000002116902,0.03438895249175842,-58.892982946498826,0.01003223623150916,1.9999999989911756,-76.90585625573405,Procedural,18.012873309235225
26,133827_fnca,0.010048039194475623,0.02045939929496846,-55.36467850602188,0.010017239155897478,1.9999999994269393,-76.9153726283623,Procedural,21.550694122340424
27,111413_fnca,1.0128736843415367,0.7084919327136483,-33.81711567104528,1.9999999999598512,1.3808804897812077,-32.8354612040938,Declarative,-0.9816544669514826
28,148840_fnca,0.010039673306136889,1.9999999990405968,-44.36746229635858,0.010038609576880025,1.9999999992158541,-44.635634376485356,Procedural,0.2681720801267744
29,167036_fnca,0.07718998657947602,0.42356412764308904,-43.28031377333563,1.2123716682493324,1.9999999999362308,-42.94312507780413,Declarative,-0.3371886955314949
30,142424_fnca,0.010000096351003082,0.016206906172429203,-74.69501906003354,0.010035665727232896,1.9999999990694097,-76.12900239273186,Procedural,1.4339833326983182
31,105014_fnca,0.010040405209555413,1.9999999992065012,-44.53375523685624,0.5124822123429921,1.9999999999999398,-45.02806401494778,Procedural,0.4943087780915434
32,139233_fnca,1.0430806885352544,1.9999666125950386,-42.97530369279028,0.3343469003660829,1.9999978141297514,-43.9214265889403,Procedural,0.9461228961500225
33,178950_fnca,0.26785620258319004,0.6693993146645393,-41.85562186931993,0.31760353273716474,1.0166982476981266,-43.28681387726875,Procedural,1.431192007948816
34,123925_fnca,0.010041342065691735,1.9999999989415764,-44.402454309369034,0.02247138583538233,1.999999999025146,-45.61476816895438,Procedural,1.2123138595853433
