"","s0"
"V487",0
"V488",0
"V489",0
"V490",0
"V491",0
"V492",0
"V493",0
"V494",0
"V495",0
"V496",0
"V497",0
"V498",0
"V499",0
"V500",0
"V501",0
"V502",0
"V503",0
"V504",0
"V505",0
"V506",0
"V507",0
"V508",0
"V509",0
"V510",0
"V511",0
"V512",0
"V513",0
"V514",0
"V515",0
"V516",0
"V517",0
"V518",0
"V519",0
"V520",0
"V521",0
"V522",0
"V523",0
"V524",0
"V525",0
"V526",0
"V527",0
"V528",0
"V529",0
"V530",0
"V531",0
"V532",0
"V533",0
"V534",0
"V535",0
"V536",0
"V537",0
"V538",-5.8574594080951
"V539",0
"V540",0
"V541",0
"V542",0
"V543",0
"V544",0
"V545",0
"V546",0
"V547",0
"V548",0.189714714817417
"V549",0
"V550",0
"V551",0
"V552",7.02214310960385
"V553",0
"V554",0
"V555",0
"V556",5.14986030266917
"V557",0
"V558",0
"V559",0
"V560",0
"V561",0
"V562",0
"V563",0
"V564",0
"V565",0.148950073911457
"V566",0
"V567",0
"V568",0
"V569",0
"V570",0
"V571",0
"V572",0
"V573",0
"V574",0
"V575",0
"V576",0
"V577",0
"V578",0
"V579",0
"V580",-13.4066213899363
"V581",0
"V582",0
"V583",0
"V584",0
"V585",0
"V586",0
"V587",0
"V588",0
"V589",0
"V590",0
"V591",0
"V592",0
"V593",0
"V594",0
"V595",0
"V596",0
"V597",0
"V598",0
"V599",0
"V600",0
"V601",-2.80949937714011
"V602",0.239473636965283
"V603",0
"V604",0
"V605",0
"V606",0
"V607",0.195085849440637
"V608",0
"V609",0
"V610",0
"V611",0
"V612",0
"V613",0
"V614",0
"V615",0
"V616",0
"V617",0
"V618",0
"V619",0
"V620",0
"V621",0
"V622",0
"V623",0
"V624",0
